Browser,Benchmark,Mean (ms),Median (ms),Std Dev (ms),Min (ms),Max (ms)
firefox,JS_Fib_35,126.925,126,7.7832753388274805,114,154
firefox,WASM_Fib_35,177.14,175,11.311516255568922,158,247
firefox,JS_Sum_200k,1.5,1,0.5385164807134504,0,3
firefox,WASM_ArraySum_200k,0.92,1,0.4512205669071387,0,2
firefox,JS_Sort_50k,2.965,3,1.6382231227766255,1,14
firefox,WASM_Sort_50k,0.695,1,0.521512224209557,0,2
firefox,WASM_SHA256_1MB,38.26,38,2.720735194758951,33,57
firefox,WebCrypto_SHA256_1MB,5.29,5,0.857846140050768,4,8
firefox,Interop_JS_to_WASM_100k,0.8,1,0.49999999999999956,0,2
firefox,JS_ArraySum_1KB,0.01,0,0.09949874371066193,0,1
firefox,WASM_ArrayTransfer_1KB,0,0,0,0,0
firefox,JS_ArraySum_100KB,0.305,0,0.47114222905615216,0,2
firefox,WASM_ArrayTransfer_100KB,0.13,0,0.3508560958569764,0,2
firefox,JS_ArraySum_1MB,3.17,3,0.7149125820686042,2,6
firefox,WASM_ArrayTransfer_1MB,1.215,1,0.527991477203941,0,3
